rel_path,filename,page_count,pc1,pc2
Acme Corp/Human resources/Employment/Mike Shilling - QESO - Stock Options.docx,Mike Shilling - QESO - Stock Options.docx,7,0.03705039992928505,-0.18128204345703125
Acme Corp/Human resources/NDAs/Frank Sinatra - NDA.docx,Frank Sinatra - NDA.docx,3,-0.04027063772082329,-0.1261398047208786
Acme Corp/Human resources/Policies/QESO - Stock Options.docx,QESO - Stock Options.docx,7,0.03705039992928505,-0.18128204345703125
Acme Corp/Human resources/Policies/Remote work policy.docx,Remote work policy.docx,2,0.17693877220153809,0.020776711404323578
Acme Corp/Human resources/Policies/Working from home policy.docx,Working from home policy.docx,2,0.19316239655017853,0.013979805633425713
Acme Corp/Human resources/SWEAT/SWEAT Warrants.docx,SWEAT Warrants.docx,5,0.05290938913822174,-0.20075522363185883
Acme Corp/Human resources/SWEAT/SWEAT terms.docx,SWEAT terms.docx,5,0.0864652618765831,-0.17192219197750092
Acme Corp/IT/Data Processing Agreement.docx,Data Processing Agreement.docx,13,0.08346500247716904,-0.04415453225374222
Acme Corp/IT/Privacy Policy.docx,Privacy Policy.docx,7,0.10049176216125488,0.04839494824409485
Acme Corp/IT/Security Policy.docx,Security Policy.docx,4,0.14153800904750824,0.01701275445520878
Acme Corp/IT/Terms of Use.docx,Terms of Use.docx,5,0.09578510373830795,-0.010635638609528542
Acme Corp/Intellectual Property/Cornballer Patent.docx,Cornballer Patent.docx,1,0.0750788226723671,0.06140350550413132
Acme Corp/Sales & Marketing/General Terms & Conditions (Recovered - 2024-02-26_16-40).docx,General Terms & Conditions (Recovered - 2024-02-26_16-40).docx,2,0.17877212166786194,0.018437856808304787
Acme Corp/Tax/opinions/SWEAT opinion - DLA Piper.pdf,SWEAT opinion - DLA Piper.pdf,4,0.09388391673564911,-0.06852106004953384
Acme Corp/Tax/opinions/Tax Opinion.docx,Tax Opinion.docx,1,0.06910247355699539,-0.0910087376832962
CUAD_v1/Affiliate Agreement/GULFSOUTHMEDICALSUPPLYINC_12_24_1997-EX-4-AFFILIATE AGREEMENT.PDF,GULFSOUTHMEDICALSUPPLYINC_12_24_1997-EX-4-AFFILIATE AGREEMENT.PDF,8,-0.06865142285823822,-0.21815411746501923
CUAD_v1/Affiliate_Agreements/CreditcardscomInc_20070810_S-1_EX-10.33_362297_EX-10.33_Affiliate Agreement.pdf,CreditcardscomInc_20070810_S-1_EX-10.33_362297_EX-10.33_Affiliate Agreement.pdf,12,0.06941139698028564,-0.17118819057941437
CUAD_v1/Affiliate_Agreements/CybergyHoldingsInc_20140520_10-Q_EX-10.27_8605784_EX-10.27_Affiliate Agreement.pdf,CybergyHoldingsInc_20140520_10-Q_EX-10.27_8605784_EX-10.27_Affiliate Agreement.pdf,16,-0.0026738878805190325,-0.14616483449935913
CUAD_v1/Affiliate_Agreements/DigitalCinemaDestinationsCorp_20111220_S-1_EX-10.10_7346719_EX-10.10_Affiliate Agreement.pdf,DigitalCinemaDestinationsCorp_20111220_S-1_EX-10.10_7346719_EX-10.10_Affiliate Agreement.pdf,37,-0.0028688027523458004,-0.20632903277873993
CUAD_v1/Affiliate_Agreements/SouthernStarEnergyInc_20051202_SB-2A_EX-9_801890_EX-9_Affiliate Agreement.pdf,SouthernStarEnergyInc_20051202_SB-2A_EX-9_801890_EX-9_Affiliate Agreement.pdf,8,0.06950461119413376,-0.1373734027147293
CUAD_v1/Affiliate_Agreements/SteelVaultCorp_20081224_10-K_EX-10.16_3074935_EX-10.16_Affiliate Agreement.pdf,SteelVaultCorp_20081224_10-K_EX-10.16_3074935_EX-10.16_Affiliate Agreement.pdf,4,0.01707436330616474,-0.2053220421075821
CUAD_v1/Affiliate_Agreements/TubeMediaCorp_20060310_8-K_EX-10.1_513921_EX-10.1_Affiliate Agreement.pdf,TubeMediaCorp_20060310_8-K_EX-10.1_513921_EX-10.1_Affiliate Agreement.pdf,24,-0.0030922319274395704,-0.22347767651081085
CUAD_v1/Affiliate_Agreements/UnionDentalHoldingsInc_20050204_8-KA_EX-10_3345577_EX-10_Affiliate Agreement.pdf,UnionDentalHoldingsInc_20050204_8-KA_EX-10_3345577_EX-10_Affiliate Agreement.pdf,3,-0.027687128633260727,-0.25097495317459106
CUAD_v1/Affiliate_Agreements/UsioInc_20040428_SB-2_EX-10.11_1723988_EX-10.11_Affiliate Agreement 2.pdf,UsioInc_20040428_SB-2_EX-10.11_1723988_EX-10.11_Affiliate Agreement 2.pdf,6,-0.019795561209321022,-0.2706339657306671
CUAD_v1/Agency Agreements/AFSALABANCORPINC_08_01_1996-EX-1.1-AGENCY AGREEMENT.PDF,AFSALABANCORPINC_08_01_1996-EX-1.1-AGENCY AGREEMENT.PDF,21,-0.00839200895279646,-0.2930663228034973
CUAD_v1/Agency Agreements/ALAMOGORDOFINANCIALCORP_12_16_1999-EX-1-AGENCY AGREEMENT.PDF,ALAMOGORDOFINANCIALCORP_12_16_1999-EX-1-AGENCY AGREEMENT.PDF,24,-0.006761648692190647,-0.2861292362213135
CUAD_v1/Agency Agreements/ALCOSTORESINC_12_14_2005-EX-10.26-AGENCY AGREEMENT.PDF,ALCOSTORESINC_12_14_2005-EX-10.26-AGENCY AGREEMENT.PDF,3,0.023020582273602486,-0.2864000201225281
CUAD_v1/Agency Agreements/ALLIANCEBANCORPINCOFPENNSYLVANIA_10_18_2006-EX-1.2-AGENCY AGREEMENT.PDF,ALLIANCEBANCORPINCOFPENNSYLVANIA_10_18_2006-EX-1.2-AGENCY AGREEMENT.PDF,41,-0.020121440291404724,-0.30285295844078064
CUAD_v1/Agency Agreements/AMERICANPHYSICIANSCAPITALINC_03_31_2003-EX-10.26-AGENCY AGREEMENT.PDF,AMERICANPHYSICIANSCAPITALINC_03_31_2003-EX-10.26-AGENCY AGREEMENT.PDF,6,0.016467168927192688,-0.2498900294303894
CUAD_v1/Agency Agreements/BANUESTRAFINANCIALCORP_09_08_2006-EX-10.16-AGENCY AGREEMENT.PDF,BANUESTRAFINANCIALCORP_09_08_2006-EX-10.16-AGENCY AGREEMENT.PDF,14,-0.0288542490452528,-0.2784773111343384
CUAD_v1/Agency Agreements/BIOPURECORP_06_30_1999-EX-10.13-AGENCY AGREEMENT.PDF,BIOPURECORP_06_30_1999-EX-10.13-AGENCY AGREEMENT.PDF,8,0.0837123766541481,-0.1975720375776291
"CUAD_v1/Agency Agreements/BLUEHILLSBANCORP,INC_05_20_2014-EX-1.1-AGENCY AGREEMENT.PDF","BLUEHILLSBANCORP,INC_05_20_2014-EX-1.1-AGENCY AGREEMENT.PDF",32,-0.02179364114999771,-0.29509201645851135
"CUAD_v1/Agency Agreements/BLUEROCKRESIDENTIALGROWTHREIT,INC_06_01_2016-EX-1.1-AGENCY AGREEMENT.PDF","BLUEROCKRESIDENTIALGROWTHREIT,INC_06_01_2016-EX-1.1-AGENCY AGREEMENT.PDF",47,-0.03437833860516548,-0.2897249162197113
CUAD_v1/Co_Branding/2ThemartComInc_19990826_10-12G_EX-10.10_6700288_EX-10.10_Co-Branding Agreement_ Agency Agreement.pdf,2ThemartComInc_19990826_10-12G_EX-10.10_6700288_EX-10.10_Co-Branding Agreement_ Agency Agreement.pdf,9,-0.05656591057777405,-0.17395265400409698
CUAD_v1/Co_Branding/DeltathreeInc_19991102_S-1A_EX-10.19_6227850_EX-10.19_Co-Branding Agreement_ Service Agreement.pdf,DeltathreeInc_19991102_S-1A_EX-10.19_6227850_EX-10.19_Co-Branding Agreement_ Service Agreement.pdf,6,-0.010028684511780739,-0.19881613552570343
CUAD_v1/Co_Branding/EbixInc_20010515_10-Q_EX-10.3_4049767_EX-10.3_Co-Branding Agreement.pdf,EbixInc_20010515_10-Q_EX-10.3_4049767_EX-10.3_Co-Branding Agreement.pdf,8,0.016492443159222603,-0.1450352817773819
CUAD_v1/Co_Branding/EdietsComInc_20001030_10QSB_EX-10.4_2606646_EX-10.4_Co-Branding Agreement.pdf,EdietsComInc_20001030_10QSB_EX-10.4_2606646_EX-10.4_Co-Branding Agreement.pdf,13,0.06293169409036636,-0.1344051957130432
CUAD_v1/Co_Branding/EmbarkComInc_19991008_S-1A_EX-10.10_6487661_EX-10.10_Co-Branding Agreement.pdf,EmbarkComInc_19991008_S-1A_EX-10.10_6487661_EX-10.10_Co-Branding Agreement.pdf,9,-0.019180381670594215,-0.12554611265659332
CUAD_v1/Co_Branding/HealthcentralCom_19991108_S-1A_EX-10.27_6623292_EX-10.27_Co-Branding Agreement.pdf,HealthcentralCom_19991108_S-1A_EX-10.27_6623292_EX-10.27_Co-Branding Agreement.pdf,13,0.0684293583035469,-0.15474149584770203
CUAD_v1/Co_Branding/ImpresseCorp_20000322_S-1A_EX-10.11_5199234_EX-10.11_Co-Branding Agreement.pdf,ImpresseCorp_20000322_S-1A_EX-10.11_5199234_EX-10.11_Co-Branding Agreement.pdf,8,0.006121947430074215,-0.18425072729587555
CUAD_v1/Co_Branding/IntegrityMediaInc_20010329_10-K405_EX-10.17_2373875_EX-10.17_Co-Branding Agreement.pdf,IntegrityMediaInc_20010329_10-K405_EX-10.17_2373875_EX-10.17_Co-Branding Agreement.pdf,6,0.01635989174246788,-0.19816277921199799
CUAD_v1/Co_Branding/InvendaCorp_20000828_S-1A_EX-10.2_2588206_EX-10.2_Co-Branding Agreement.pdf,InvendaCorp_20000828_S-1A_EX-10.2_2588206_EX-10.2_Co-Branding Agreement.pdf,27,0.02584870345890522,-0.10248181968927383
CUAD_v1/Co_Branding/LeadersonlineInc_20000427_S-1A_EX-10.8_4991089_EX-10.8_Co-Branding Agreement.pdf,LeadersonlineInc_20000427_S-1A_EX-10.8_4991089_EX-10.8_Co-Branding Agreement.pdf,10,0.03428793326020241,-0.2044447809457779
CUAD_v1/Co_Branding/MphaseTechnologiesInc_20030911_10-K_EX-10.15_1560667_EX-10.15_Co-Branding Agreement.pdf,MphaseTechnologiesInc_20030911_10-K_EX-10.15_1560667_EX-10.15_Co-Branding Agreement.pdf,3,0.012178676202893257,-0.1134963110089302
CUAD_v1/Co_Branding/MusclepharmCorp_20170208_10-KA_EX-10.38_9893581_EX-10.38_Co-Branding Agreement.pdf,MusclepharmCorp_20170208_10-KA_EX-10.38_9893581_EX-10.38_Co-Branding Agreement.pdf,34,0.0010003935312852263,-0.15347671508789062
CUAD_v1/Co_Branding/NeoformaInc_19991202_S-1A_EX-10.26_5224521_EX-10.26_Co-Branding Agreement.pdf,NeoformaInc_19991202_S-1A_EX-10.26_5224521_EX-10.26_Co-Branding Agreement.pdf,17,0.053141023963689804,-0.17845502495765686
CUAD_v1/Co_Branding/PaperexchangeComInc_20000322_S-1A_EX-10.4_5202103_EX-10.4_Co-Branding Agreement.pdf,PaperexchangeComInc_20000322_S-1A_EX-10.4_5202103_EX-10.4_Co-Branding Agreement.pdf,16,0.05177353322505951,-0.15421196818351746
CUAD_v1/Co_Branding/PcquoteComInc_19990721_S-1A_EX-10.11_6377149_EX-10.11_Co-Branding Agreement1.pdf,PcquoteComInc_19990721_S-1A_EX-10.11_6377149_EX-10.11_Co-Branding Agreement1.pdf,6,0.01799142174422741,-0.16427823901176453
CUAD_v1/Co_Branding/PcquoteComInc_19990721_S-1A_EX-10.11_6377149_EX-10.11_Co-Branding Agreement2.pdf,PcquoteComInc_19990721_S-1A_EX-10.11_6377149_EX-10.11_Co-Branding Agreement2.pdf,2,-0.019960157573223114,-0.16122236847877502
CUAD_v1/Co_Branding/PcquoteComInc_19990721_S-1A_EX-10.11_6377149_EX-10.11_Co-Branding Agreement3.pdf,PcquoteComInc_19990721_S-1A_EX-10.11_6377149_EX-10.11_Co-Branding Agreement3.pdf,2,-0.05965757742524147,-0.16686229407787323
CUAD_v1/Co_Branding/RaeSystemsInc_20001114_10-Q_EX-10.57_2631790_EX-10.57_Co-Branding Agreement.pdf,RaeSystemsInc_20001114_10-Q_EX-10.57_2631790_EX-10.57_Co-Branding Agreement.pdf,11,0.05054672807455063,-0.13333414494991302
CUAD_v1/Co_Branding/RandWorldwideInc_20010402_8-KA_EX-10.2_2102464_EX-10.2_Co-Branding Agreement.pdf,RandWorldwideInc_20010402_8-KA_EX-10.2_2102464_EX-10.2_Co-Branding Agreement.pdf,11,-0.002061748644337058,-0.17491039633750916
CUAD_v1/Co_Branding/StampscomInc_20001114_10-Q_EX-10.47_2631630_EX-10.47_Co-Branding Agreement.pdf,StampscomInc_20001114_10-Q_EX-10.47_2631630_EX-10.47_Co-Branding Agreement.pdf,19,0.011192381381988525,-0.1568172723054886
CUAD_v1/Co_Branding/TheglobeComInc_19990503_S-1A_EX-10.20_5416126_EX-10.20_Co-Branding Agreement.pdf,TheglobeComInc_19990503_S-1A_EX-10.20_5416126_EX-10.20_Co-Branding Agreement.pdf,9,0.014981948770582676,-0.14454586803913116
CUAD_v1/Co_Branding/TomOnlineInc_20060501_20-F_EX-4.46_749700_EX-4.46_Co-Branding Agreement.pdf,TomOnlineInc_20060501_20-F_EX-4.46_749700_EX-4.46_Co-Branding Agreement.pdf,31,-0.0139490757137537,-0.13156703114509583
CUAD_v1/Collaboration/ANIXABIOSCIENCESINC_06_09_2020-EX-10.1-COLLABORATION AGREEMENT.PDF,ANIXABIOSCIENCESINC_06_09_2020-EX-10.1-COLLABORATION AGREEMENT.PDF,15,0.02946244180202484,-0.15004077553749084
CUAD_v1/Collaboration/BIOCEPTINC_08_19_2013-EX-10-COLLABORATION AGREEMENT.PDF,BIOCEPTINC_08_19_2013-EX-10-COLLABORATION AGREEMENT.PDF,26,0.037166185677051544,-0.11325383931398392
"CUAD_v1/Collaboration/CARDAX,INC_08_19_2014-EX-10.1-COLLABORATION AGREEMENT.PDF","CARDAX,INC_08_19_2014-EX-10.1-COLLABORATION AGREEMENT.PDF",25,0.000924502091947943,-0.11466237157583237
"CUAD_v1/Collaboration/CERES,INC_01_25_2012-EX-10.20-Collaboration Agreement.PDF","CERES,INC_01_25_2012-EX-10.20-Collaboration Agreement.PDF",154,0.07256326079368591,-0.08625791221857071
CUAD_v1/Collaboration/CHEETAHMOBILEINC_04_22_2014-EX-10.43-Cooperation Agreement.PDF,CHEETAHMOBILEINC_04_22_2014-EX-10.43-Cooperation Agreement.PDF,25,0.04009202495217323,-0.1170935183763504
"CUAD_v1/Collaboration/ELFBEAUTY,INC_07_02_2020-EX-10.1-COOPERATION AGREEMENT.PDF","ELFBEAUTY,INC_07_02_2020-EX-10.1-COOPERATION AGREEMENT.PDF",13,-0.0877486914396286,-0.19814002513885498
CUAD_v1/Collaboration/FIBROGENINC_10_01_2014-EX-10.11-COLLABORATION AGREEMENT.PDF,FIBROGENINC_10_01_2014-EX-10.11-COLLABORATION AGREEMENT.PDF,53,0.00557697145268321,-0.12118799239397049
"CUAD_v1/Collaboration/FOUNDATIONMEDICINE,INC_02_02_2015-EX-10.2-Collaboration Agreement.PDF","FOUNDATIONMEDICINE,INC_02_02_2015-EX-10.2-Collaboration Agreement.PDF",74,0.021134940907359123,-0.09702463448047638
"CUAD_v1/Collaboration/HC2HOLDINGS,INC_05_14_2020-EX-10.1-COOPERATION AGREEMENT.PDF","HC2HOLDINGS,INC_05_14_2020-EX-10.1-COOPERATION AGREEMENT.PDF",17,-0.08603890240192413,-0.24162083864212036
CUAD_v1/Collaboration/HPILHOLDING_01_07_2015-EX-99.1-COOPERATION AGREEMENT.PDF,HPILHOLDING_01_07_2015-EX-99.1-COOPERATION AGREEMENT.PDF,9,-0.008418068289756775,-0.22480666637420654
CUAD_v1/Collaboration/LEJUHOLDINGSLTD_03_12_2014-EX-10.34-INTERNET CHANNEL COOPERATION AGREEMENT.PDF,LEJUHOLDINGSLTD_03_12_2014-EX-10.34-INTERNET CHANNEL COOPERATION AGREEMENT.PDF,14,0.03546656668186188,-0.1877690553665161
"CUAD_v1/Collaboration/MEETGROUP,INC_06_29_2017-EX-10.1-COOPERATION AGREEMENT.PDF","MEETGROUP,INC_06_29_2017-EX-10.1-COOPERATION AGREEMENT.PDF",20,-0.05867231264710426,-0.22571709752082825
CUAD_v1/Collaboration/QIWI_06_16_2017-EX-99.(D)(2)-COOPERATION AGREEMENT.PDF,QIWI_06_16_2017-EX-99.(D)(2)-COOPERATION AGREEMENT.PDF,14,-0.03415326774120331,-0.27947306632995605
"CUAD_v1/Collaboration/SPIENERGYCO,LTD_07_10_2014-EX-10-Cooperation Agreement of 50MWp Photovoltaic Grid-connected Power Generation Project in Yangqiao of~1.PDF","SPIENERGYCO,LTD_07_10_2014-EX-10-Cooperation Agreement of 50MWp Photovoltaic Grid-connected Power Generation Project in Yangqiao of~1.PDF",1,0.08617915958166122,-0.07839509844779968
"CUAD_v1/Collaboration/SPOKHOLDINGS,INC_06_19_2020-EX-10.1-COOPERATION AGREEMENT.PDF","SPOKHOLDINGS,INC_06_19_2020-EX-10.1-COOPERATION AGREEMENT.PDF",6,-0.09667549282312393,-0.19986507296562195
CUAD_v1/Collaboration/STWRESOURCESHOLDINGCORP_08_06_2014-EX-10.1-COOPERATION AGREEMENT.PDF,STWRESOURCESHOLDINGCORP_08_06_2014-EX-10.1-COOPERATION AGREEMENT.PDF,10,-0.021042199805378914,-0.22615750133991241
CUAD_v1/Collaboration/URSCORPNEW_03_17_2014-EX-99-COOPERATION AGREEMENT.PDF,URSCORPNEW_03_17_2014-EX-99-COOPERATION AGREEMENT.PDF,14,-0.010992777533829212,-0.20134764909744263
"CUAD_v1/Consulting Agreements/ADUROBIOTECH,INC_06_02_2020-EX-10.7-CONSULTING AGREEMENT.PDF","ADUROBIOTECH,INC_06_02_2020-EX-10.7-CONSULTING AGREEMENT.PDF",4,-0.03350292146205902,-0.0958290696144104
"CUAD_v1/Consulting Agreements/CORALGOLDRESOURCES,LTD_05_28_2020-EX-4.1-CONSULTING AGREEMENT.PDF","CORALGOLDRESOURCES,LTD_05_28_2020-EX-4.1-CONSULTING AGREEMENT.PDF",11,-0.03314308449625969,-0.24810510873794556
"CUAD_v1/Consulting Agreements/DRIVENDELIVERIES,INC_05_22_2020-EX-10.4-CONSULTING AGREEMENT.PDF","DRIVENDELIVERIES,INC_05_22_2020-EX-10.4-CONSULTING AGREEMENT.PDF",7,-0.012662751600146294,-0.14004957675933838
CUAD_v1/Consulting Agreements/EMERALDHEALTHTHERAPEUTICSINC_06_10_2020-EX-4.5-CONSULTING AGREEMENT - DR. GAETANO MORELLO N.D. INC..PDF,EMERALDHEALTHTHERAPEUTICSINC_06_10_2020-EX-4.5-CONSULTING AGREEMENT - DR. GAETANO MORELLO N.D. INC..PDF,8,0.011649422347545624,-0.18301936984062195
CUAD_v1/Consulting Agreements/GLOBALTECHNOLOGIESLTD_06_08_2020-EX-10.16-CONSULTING AGREEMENT.PDF,GLOBALTECHNOLOGIESLTD_06_08_2020-EX-10.16-CONSULTING AGREEMENT.PDF,7,-0.029981480911374092,-0.23298850655555725
"CUAD_v1/Consulting Agreements/KIROMICBIOPHARMA,INC_05_11_2020-EX-10.23-CONSULTING AGREEMENT.PDF","KIROMICBIOPHARMA,INC_05_11_2020-EX-10.23-CONSULTING AGREEMENT.PDF",7,-0.03892499953508377,-0.15684807300567627
"CUAD_v1/Consulting Agreements/MEDALISTDIVERSIFIEDREIT,INC_05_18_2020-EX-10.1-CONSULTING AGREEMENT.PDF","MEDALISTDIVERSIFIEDREIT,INC_05_18_2020-EX-10.1-CONSULTING AGREEMENT.PDF",8,-0.019421594217419624,-0.26010632514953613
CUAD_v1/Consulting Agreements/PANDIONTHERAPEUTICSHOLDCOLLC_05_22_2020-EX-10.17-CONSULTING AGREEMENT.PDF,PANDIONTHERAPEUTICSHOLDCOLLC_05_22_2020-EX-10.17-CONSULTING AGREEMENT.PDF,9,-0.019941793754696846,-0.18627555668354034
CUAD_v1/Consulting Agreements/SLINGERBAGINC_05_27_2020-EX-10.7-CONSULTING AGREEMENT.PDF,SLINGERBAGINC_05_27_2020-EX-10.7-CONSULTING AGREEMENT.PDF,14,-0.032132916152477264,-0.20857656002044678
CUAD_v1/Consulting Agreements/SPHERE3DCORP_06_24_2020-EX-10.12-CONSULTING AGREEMENT.PDF,SPHERE3DCORP_06_24_2020-EX-10.12-CONSULTING AGREEMENT.PDF,4,0.003526552813127637,-0.1724003553390503
"CUAD_v1/Development/Array BioPharma Inc. - LICENSE, DEVELOPMENT AND COMMERCIALIZATION AGREEMENT.PDF","Array BioPharma Inc. - LICENSE, DEVELOPMENT AND COMMERCIALIZATION AGREEMENT.PDF",107,0.0032092968467622995,-0.10835697501897812
CUAD_v1/Development/Microgenics Corporation - Collaborative Development and Commercialization Agreement.PDF,Microgenics Corporation - Collaborative Development and Commercialization Agreement.PDF,60,0.01611470989882946,-0.10227145999670029
CUAD_v1/Development/TRUENORTHENERGYCORP_02_08_2007-EX-10.1-DEVELOPMENT AGREEMENT.PDF,TRUENORTHENERGYCORP_02_08_2007-EX-10.1-DEVELOPMENT AGREEMENT.PDF,14,-0.037234142422676086,-0.28085070848464966
CUAD_v1/Development/WARNERCHILCOTTPLC_12_31_2003-EX-4.36-DEVELOPMENT AGREEMENT.PDF,WARNERCHILCOTTPLC_12_31_2003-EX-4.36-DEVELOPMENT AGREEMENT.PDF,6,0.018819451332092285,-0.16695985198020935
CUAD_v1/Distributor/ACCURAYINC_09_01_2010-EX-10.31-DISTRIBUTOR AGREEMENT.PDF,ACCURAYINC_09_01_2010-EX-10.31-DISTRIBUTOR AGREEMENT.PDF,32,0.05853162333369255,-0.13273948431015015
CUAD_v1/Distributor/AIRSPANNETWORKSINC_04_11_2000-EX-10.5-Distributor Agreement.PDF,AIRSPANNETWORKSINC_04_11_2000-EX-10.5-Distributor Agreement.PDF,14,0.036841053515672684,-0.18162491917610168
CUAD_v1/Distributor/BLACKBOXSTOCKSINC_08_05_2014-EX-10.1-DISTRIBUTOR AGREEMENT.PDF,BLACKBOXSTOCKSINC_08_05_2014-EX-10.1-DISTRIBUTOR AGREEMENT.PDF,8,-0.0026448327116668224,-0.15483833849430084
